KSam       Anthric Kastanozem
KScc       Calcic Kastanozem
KScr       Chromic Kastanozem
KSgy       Gypsic Kastanozem
KSha       Haplic Kastanozem
KSlv       Luvic Kastanozem
KSsl       Siltic Kastanozem
KSsow      Hyposodic Kastanozem
KSvr       Vertic Kastanozem
LP         Leptosol
LPad       Aridic Leptosol
LPca       Calcaric Leptosol
LPdy       Dystric Leptosol
LPeu       Eutric Leptosol
LPge       Gelic Leptosol
LPgl       Gleyic Leptosol
LPgp       Gypsiric Leptosol
LPha       Haplic Leptosol
LPhk       Hyperskeletic Leptosol
LPhu       Humic Leptosol
LPli       Lithic Leptosol
LPmo       Mollic Leptosol
LPrz       Rendzic Leptosol
LPum       Umbric Leptosol
LPvr       Vertic Leptosol
LPye       Yermic Leptosol
LV         Luvisol
LVab       Albic Luvisol
LVan       Andic Luvisol
LVar       Arenic Luvisol
LVcc       Calcic Luvisol
LVcr       Chromic Luvisol
LVct       Cutanic Luvisol
LVdy       Dystric Luvisol
LVfr       Ferric Luvisol
LVgl       Gleyic Luvisol
LVha       Haplic Luvisol
LVle       Leptic Luvisol
LVll       Lamellic Luvisol
LVohh      Hyperochric Luvisol
LVpf       Profondic Luvisol
LVro       Rhodic Luvisol
LVsow      Hyposodic Luvisol
LVst       Stagnic Luvisol
LVvi       Vitric Luvisol
LVvr       Vertic Luvisol
LX         Lixisol
LXab       Albic Lixisol
LXan       Andic Lixisol
LXap       Abruptic Lixisol
LXar       Arenic Lixisol
LXcc       Calcic Lixisol
LXcr       Chromic Lixisol
LXfr       Ferric Lixisol
LXgl       Gleyic Lixisol
LXgr       Geric Lixisol
LXha       Haplic Lixisol
LXhu       Humic Lixisol
LXle       Leptic Lixisol
LXll       Lamellic Lixisol
LXohh      Hyperochric Lixisol
LXpf       Profondic Lixisol
LXpl       Plinthic Lixisol
LXro       Rhodic Lixisol
LXst       Stagnic Lixisol
LXvi       Vitric Lixisol
LXvt       Vetic Lixisol
NT         Nitisol
NTal       Alic Nitisol
NTan       Andic Nitisol
NTau       Alumic Nitisol
NTdy       Dystric Nitisol
NTeu       Eutric Nitisol
NTfl       Ferralic Nitisol
NTha       Haplic Nitisol
NThu       Humic Nitisol
NTmo       Mollic Nitisol
NTro       Rhodic Nitisol
NTum       Umbric Nitisol
NTvt       Vetic Nitisol
PH         Phaeozem
PHab       Albic Phaeozem
PHan       Andic Phaeozem
PHap       Abruptic Phaeozem
PHca       Calcaric Phaeozem
PHcr       Chromic Phaeozem
PHgl       Gleyic Phaeozem
PHgs       Glossic Phaeozem
PHgz       Greyic Phaeozem
PHha       Haplic Phaeozem
PHle       Leptic Phaeozem
PHlv       Luvic Phaeozem
PHph       Pachic Phaeozem
PHsk       Skeletic Phaeozem
PHsl       Siltic Phaeozem
PHso       Sodic Phaeozem
PHst       Stagnic Phaeozem
PHtf       Tephric Phaeozem
PHvi       Vitric Phaeozem
PHvm       Vermic Phaeozem
PHvr       Vertic Phaeozem
PL         Planosol
PLab       Albic Planosol
PLal       Alic Planosol
PLar       Arenic Planosol
PLau       Alumic Planosol
PLax       Alcalic Planosol
PLca       Calcaric Planosol
PLcc       Calcic Planosol
PLcr       Chromic Planosol
PLdy       Dystric Planosol
PLeu       Eutric Planosol
PLfr       Ferric Planosol
PLge       Gelic Planosol
PLgl       Gleyic Planosol
PLgr       Geric Planosol
PLgy       Gypsic Planosol
PLha       Haplic Planosol
PLhi       Histic Planosol
PLlv       Luvic Planosol
PLmo       Mollic Planosol
PLpf?      Petroferric Planosol
PLpl       Plinthic Planosol
PLro       Rhodic Planosol
PLso       Sodic Planosol
PLszn      Endosalic Planosol
PLti       Thionic Planosol
PLum       Umbric Planosol
PLvr       Vertic Planosol
PT         Plinthosol
PTab       Albic Plinthosol
PTac       Acric Plinthosol
PTal       Alic Plinthosol
PTap       Abruptic Plinthosol
PTau       Alumic Plinthosol
PTdun      Endoduric Plinthosol
PTeun      Endoeutric Plinthosol
PTfr       Ferric Plinthosol
PTgr       Geric Plinthosol
PTgs       Glossic Plinthosol
PTha       Haplic Plinthosol
PThu       Humic Plinthosol
PTph       Pachic Plinthosol
PTpt       Petric Plinthosol
PTst       Stagnic Plinthosol
PTum       Umbric Plinthosol
PTvt       Vetic Plinthosol
PZ         Podzol
PZam       Anthric Podzol
PZcb       Carbic Podzol
PZdn       Densic Podzol
PZet       Entic Podzol
PZfg       Fragic Podzol
PZge       Gelic Podzol
PZgl       Gleyic Podzol
PZha       Haplic Podzol
PZhi       Histic Podzol
PZll       Lamellic Podzol
PZpi       Placic Podzol
PZrs       Rustic Podzol
PZsk       Skeletic Podzol
PZst       Stagnic Podzol
PZum       Umbric Podzol
RG         Regosol
RGad       Aridic Regosol
RGah       Anthropic Regosol
RGai       Aric Regosol
RGanb      Thaptoandic Regosol
RGar       Arenic Regosol
RGca       Calcaric Regosol
RGdy       Dystric Regosol
RGeu       Eutric Regosol
RGga       Garbic Regosol
RGge       Gelic Regosol
RGgl       Gleyic Regosol
RGgp       Gypsiric Regosol
RGgt       Gelistagnic Regosol
RGha       Haplic Regosol
RGhu       Humic Regosol
RGle       Leptic Regosol
RGohh      Hyperochric Regosol
RGrd       Reductic Regosol
RGsk       Skeletic Regosol
RGsow      Hyposodic Regosol
RGsp       Spolic Regosol
RGst       Stagnic Regosol
RGszw      Hyposalic Regosol
RGtf       Tephric Regosol
RGty       Takyric Regosol
RGub       Urbic Regosol
RGvib      Thaptovitric Regosol
RGvm       Vermic Regosol
RGye       Yermic Regosol
SC         Solonchak
SCad       Aridic Solonchak
SCae       Aceric Solonchak
SCcc       Calcic Solonchak
SCcl       Chloridic Solonchak
SCcn       Carbonatic Solonchak
SCdu       Duric Solonchak
SCge       Gelic Solonchak
SCgl       Gleyic Solonchak
SCgy       Gypsic Solonchak
SCha       Haplic Solonchak
SChi       Histic Solonchak
SCmo       Mollic Solonchak
SCoh       Ochric Solonchak
SCps       Petrosalic Solonchak
SCso       Sodic Solonchak
SCst       Stagnic Solonchak
SCsu       Sulphatic Solonchak
SCszh      Hypersalic Solonchak
SCty       Takyric Solonchak
SCvr       Vertic Solonchak
SCye       Yermic Solonchak
SN         Solonetz
SNab       Albic Solonetz
SNad       Aridic Solonetz
SNcc       Calcic Solonetz
SNdu       Duric Solonetz
SNgl       Gleyic Solonetz
SNgy       Gypsic Solonetz
SNha       Haplic Solonetz
SNhu       Humic Solonetz
SNmg       Magnesic Solonetz
SNmo       Mollic Solonetz
SNst       Stagnic Solonetz
SNsz       Salic Solonetz
SNty       Takyric Solonetz
SNvr       Vertic Solonetz
SNye       Yermic Solonetz
UM         Umbrisol
UMab       Albic Umbrisol
UMam       Anthric Umbrisol
UMar       Arenic Umbrisol
UMfl       Ferralic Umbrisol
UMge       Gelic Umbrisol
UMgl       Gleyic Umbrisol
UMha       Haplic Umbrisol
UMhu       Humic Umbrisol
UMle       Leptic Umbrisol
UMsk       Skeletic Umbrisol
UMst       Stagnic Umbrisol
VR         Vertisol
VRal       Alic Vertisol
VRcc       Calcic Vertisol
VRcr       Chromic Vertisol
VRdu       Duric Vertisol
VReu       Eutric Vertisol
VRgm       Grumic Vertisol
VRgp       Gypsiric Vertisol
VRgy       Gypsic Vertisol
VRha       Haplic Vertisol
VRms       Mesotrophic Vertisol
VRmz       Mazic Vertisol
VRna       Natric Vertisol
VRpe       Pellic Vertisol
VRsow      Hyposodic Vertisol
VRsz       Salic Vertisol
VRti       Thionic Vertisol
1 1 11 1   Town
2 2 22 2   Soil disturbed by man
3 3 33 3   Water body
4 4 44 4   Marsh
5 5 55 5   Glacier
6 6 66 6   Rock outcrops
